,age,income,member,spend
0,69.45363685340727,39344.662116662796,1,4601
1,78.03375743824643,54619.10161558893,0,3948
2,75.02653426824583,42496.06788917495,0,3720
3,20.23409668057131,53477.36945575852,0,3955
4,28.83586425797828,52655.71006838203,0,3964
5,42.12634998027352,58278.3389622775,0,4311
6,77.03284723231609,37130.18738063998,0,3497
7,36.60179300750764,53188.256614645936,0,3997
8,27.948993921031267,41437.418278492354,0,3573
9,72.95088929736671,57813.94780719271,1,5241
10,45.67645375995858,56154.55714835005,0,4228
11,74.28828684996822,56575.708450917686,0,4144
12,27.93428891184888,51797.037621915595,0,4032
13,58.98928571350217,27216.206391955264,0,3076
14,45.296352675428494,36005.137160559854,0,3508
15,22.742179679877694,57637.21632965644,1,5193
16,61.180714968455035,43977.61946858443,0,3724
17,33.33872284342753,60573.460064755505,0,4298
18,20.4561623999301,37582.87282723734,0,3472
19,21.716546491473544,58444.3384515838,0,4139
20,21.786869298140815,54190.97531947078,0,4072
21,74.27944336407245,55408.49053717194,0,4114
22,63.872802905404264,51426.8507956381,1,4942
23,73.67986614725157,40068.22278661149,0,3640
24,59.70010330038432,46205.293042637364,0,3844
25,50.794275599914755,55953.97240490621,0,4229
26,36.875674589537454,41088.60805239509,0,3574
27,79.87365958237775,62549.008464063605,0,4189
28,40.45572165424214,60709.40619051583,0,4347
29,47.18023485126239,63681.17993679004,0,4385
30,41.45120084525463,57540.420361080716,0,4094
31,78.73066961879843,36382.10171713786,0,3475
32,28.82881989449036,52148.89850749812,0,4043
33,38.335256056300935,57666.696590740314,0,4266
34,60.1816172929301,44278.53301602854,1,4828
35,21.9188723369951,40673.95793812547,0,3557
36,55.64946118871554,36536.81120252284,0,3543
37,47.61408317833779,39416.45959252943,0,3646
38,35.60799855925027,53082.19616769237,0,4076
39,32.7816234172916,51263.05893671368,0,4007
40,49.89979008452292,64746.54928503806,1,5328
41,40.81150999329657,50198.6563836009,0,3998
42,46.30423325828463,48466.596631614135,1,4950
43,38.92359766938287,55427.25017058561,1,5223
44,78.17060900295061,41017.56943532489,0,3543
45,26.27324476822745,60728.34173324299,0,4201
46,24.001845097059203,59212.0076932611,0,4174
47,39.290287185036796,39540.173308691854,0,3602
48,54.643667853970456,52398.84812776751,1,5059
49,58.86894125470175,47600.12763265349,0,3845
50,42.62991832441861,52015.265580230654,1,4919
51,79.95523562317462,60953.73743110591,0,4222
52,39.81736576396864,42358.542771013184,1,4642
53,62.72721341351705,39409.18579270796,0,3615
54,57.53012706090916,59709.77227641424,1,5328
55,68.40933952134256,22754.51236092319,0,2880
56,78.52599113413683,50263.42877722383,1,4897
57,73.16720669962349,50311.35652286276,0,3989
58,65.40284241017793,48212.90669958506,0,3909
59,61.29140562473402,54194.993138326034,1,5055
60,38.800886519905774,41316.114689421636,1,4682
61,27.156505848815854,54747.06090192855,0,4139
62,21.883432189708206,45023.0737459999,0,3723
63,32.99790566049206,43868.19435280433,0,3732
64,44.80145183324051,41006.91845413586,0,3672
65,50.36376896505891,43048.62740381889,0,3854
66,65.93118035140205,52548.5799282392,0,4030
67,77.44193722950877,74627.8161595743,0,4562
68,25.273869783858284,62880.22593749617,0,4306
69,24.63425669201508,63663.51092678204,0,4383
70,54.561072826840146,29158.59927109345,0,3137
71,64.21468058473216,60545.402419640435,1,5477
72,70.58532358151305,43415.53909583217,1,4690
